"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2011-06-09 03:56:25,FALSE,FALSE,0,FALSE,2011-06-09 03:57:25,0
2011-06-09 10:51:27,TRUE,FALSE,0,FALSE,2011-06-09 10:51:27,0
2011-06-10 03:57:27,FALSE,FALSE,0,FALSE,2011-06-10 03:58:27,0
2011-06-10 09:59:27,TRUE,FALSE,0,FALSE,2011-06-10 09:59:27,0
2011-06-11 04:03:27,FALSE,FALSE,0,FALSE,2011-06-11 04:04:27,0
2011-06-11 09:59:27,TRUE,FALSE,0,FALSE,2011-06-11 09:59:27,0
2011-06-12 04:03:47,FALSE,FALSE,0,FALSE,2011-06-12 04:04:47,0
2011-06-12 09:59:27,TRUE,FALSE,0,FALSE,2011-06-12 09:59:27,0
2011-06-13 03:49:27,FALSE,FALSE,0,FALSE,2011-06-13 03:50:27,0
2011-06-13 10:05:27,TRUE,FALSE,0,FALSE,2011-06-13 10:05:27,0
2011-06-14 04:00:27,FALSE,FALSE,0,FALSE,2011-06-14 04:01:27,0
2011-06-14 09:57:27,TRUE,FALSE,0,FALSE,2011-06-14 09:57:27,0
2011-06-15 03:48:27,FALSE,FALSE,0,FALSE,2011-06-15 03:49:27,0
2011-06-15 10:09:27,TRUE,FALSE,0,FALSE,2011-06-15 10:09:27,0
2011-06-16 04:04:27,FALSE,FALSE,0,FALSE,2011-06-16 04:05:27,0
2011-06-16 10:07:27,TRUE,FALSE,0,FALSE,2011-06-16 10:07:27,0
2011-06-17 04:01:47,FALSE,FALSE,0,FALSE,2011-06-17 04:02:47,0
2011-06-17 10:11:27,TRUE,FALSE,0,FALSE,2011-06-17 10:11:27,0
2011-06-18 03:44:09,FALSE,FALSE,0,FALSE,2011-06-18 03:45:09,0
2011-06-18 10:04:27,TRUE,FALSE,0,FALSE,2011-06-18 10:04:27,0
2011-06-19 03:46:27,FALSE,FALSE,0,FALSE,2011-06-19 03:47:27,0
2011-06-19 10:15:27,TRUE,FALSE,0,FALSE,2011-06-19 10:15:27,0
2011-06-20 04:00:27,FALSE,FALSE,0,FALSE,2011-06-20 04:01:27,0
2011-06-20 10:25:57,TRUE,FALSE,0,FALSE,2011-06-20 10:25:57,0
2011-06-21 03:56:27,FALSE,FALSE,0,FALSE,2011-06-21 03:57:27,0
2011-06-21 10:01:27,TRUE,FALSE,0,FALSE,2011-06-21 10:01:27,0
2011-06-22 04:04:27,FALSE,FALSE,0,FALSE,2011-06-22 04:05:27,0
2011-06-22 10:11:51,TRUE,FALSE,0,FALSE,2011-06-22 10:11:51,0
2011-06-23 04:06:27,FALSE,FALSE,0,FALSE,2011-06-23 04:07:27,0
2011-06-23 09:59:27,TRUE,FALSE,0,FALSE,2011-06-23 09:59:27,0
2011-06-24 04:00:27,FALSE,FALSE,0,FALSE,2011-06-24 04:01:27,0
2011-06-24 10:18:27,TRUE,FALSE,0,FALSE,2011-06-24 10:18:27,0
2011-06-25 04:01:57,FALSE,FALSE,0,FALSE,2011-06-25 04:02:57,0
2011-06-25 09:57:27,TRUE,FALSE,0,FALSE,2011-06-25 09:57:27,0
2011-06-26 04:06:27,FALSE,FALSE,0,FALSE,2011-06-26 04:07:27,0
2011-06-26 10:07:27,TRUE,FALSE,0,FALSE,2011-06-26 10:07:27,0
2011-06-27 03:40:27,FALSE,FALSE,0,FALSE,2011-06-27 03:41:27,0
2011-06-27 10:01:27,TRUE,FALSE,0,FALSE,2011-06-27 10:01:27,0
2011-06-28 04:04:27,FALSE,FALSE,0,FALSE,2011-06-28 04:05:27,0
2011-06-28 10:09:27,TRUE,FALSE,0,FALSE,2011-06-28 10:09:27,0
2011-06-29 04:00:03,FALSE,FALSE,0,FALSE,2011-06-29 04:01:03,0
2011-06-29 10:30:27,TRUE,FALSE,0,FALSE,2011-06-29 10:30:27,0
2011-06-30 04:06:27,FALSE,FALSE,0,FALSE,2011-06-30 04:07:27,0
2011-06-30 10:06:27,TRUE,FALSE,0,FALSE,2011-06-30 10:06:27,0
2011-07-01 04:04:27,FALSE,FALSE,0,FALSE,2011-07-01 04:05:27,0
2011-07-01 10:03:27,TRUE,FALSE,0,FALSE,2011-07-01 10:03:27,0
2011-07-02 04:02:03,FALSE,FALSE,0,FALSE,2011-07-02 04:03:03,0
2011-07-02 10:16:07,TRUE,FALSE,0,FALSE,2011-07-02 10:16:07,0
2011-07-03 04:02:25,FALSE,FALSE,0,FALSE,2011-07-03 04:03:25,0
2011-07-03 10:03:27,TRUE,FALSE,0,FALSE,2011-07-03 10:03:27,0
2011-07-04 04:02:27,FALSE,FALSE,0,FALSE,2011-07-04 04:03:27,0
2011-07-04 10:08:27,TRUE,FALSE,0,FALSE,2011-07-04 10:08:27,0
2011-07-05 04:00:27,FALSE,FALSE,0,FALSE,2011-07-05 04:01:27,0
2011-07-05 10:24:27,TRUE,FALSE,0,FALSE,2011-07-05 10:24:27,0
2011-07-06 04:02:27,FALSE,FALSE,0,FALSE,2011-07-06 04:03:27,0
2011-07-06 10:12:27,TRUE,FALSE,0,FALSE,2011-07-06 10:12:27,0
2011-07-07 03:54:27,FALSE,FALSE,0,FALSE,2011-07-07 03:55:27,0
2011-07-07 10:16:27,TRUE,FALSE,0,FALSE,2011-07-07 10:16:27,0
2011-07-08 03:42:27,FALSE,FALSE,0,FALSE,2011-07-08 03:43:27,0
2011-07-08 10:17:27,TRUE,FALSE,0,FALSE,2011-07-08 10:17:27,0
2011-07-09 03:59:27,FALSE,FALSE,0,FALSE,2011-07-09 04:00:27,0
2011-07-09 10:29:27,TRUE,FALSE,0,FALSE,2011-07-09 10:29:27,0
2011-07-10 03:49:27,FALSE,FALSE,0,FALSE,2011-07-10 03:50:27,0
2011-07-10 10:30:27,TRUE,FALSE,0,FALSE,2011-07-10 10:30:27,0
2011-07-11 03:54:27,FALSE,FALSE,0,FALSE,2011-07-11 03:55:27,0
2011-07-11 10:25:27,TRUE,FALSE,0,FALSE,2011-07-11 10:25:27,0
2011-07-12 03:52:27,FALSE,FALSE,0,FALSE,2011-07-12 03:53:27,0
2011-07-12 10:18:27,TRUE,FALSE,0,FALSE,2011-07-12 10:18:27,0
2011-07-13 03:44:27,FALSE,FALSE,0,FALSE,2011-07-13 03:45:27,0
2011-07-13 10:31:27,TRUE,FALSE,0,FALSE,2011-07-13 10:31:27,0
2011-07-14 03:54:27,FALSE,FALSE,0,FALSE,2011-07-14 03:55:27,0
2011-07-14 10:31:27,TRUE,FALSE,0,FALSE,2011-07-14 10:31:27,0
2011-07-15 03:49:47,FALSE,FALSE,0,FALSE,2011-07-15 03:50:47,0
2011-07-15 10:29:27,TRUE,FALSE,0,FALSE,2011-07-15 10:29:27,0
2011-07-16 03:49:27,FALSE,FALSE,0,FALSE,2011-07-16 03:50:27,0
2011-07-16 10:29:27,TRUE,FALSE,0,FALSE,2011-07-16 10:29:27,0
2011-07-17 03:37:27,FALSE,FALSE,0,FALSE,2011-07-17 03:38:27,0
2011-07-17 10:31:57,TRUE,FALSE,0,FALSE,2011-07-17 10:31:57,0
2011-07-18 03:44:17,FALSE,FALSE,0,FALSE,2011-07-18 03:45:17,0
2011-07-18 10:27:27,TRUE,FALSE,0,FALSE,2011-07-18 10:27:27,0
2011-07-19 03:50:27,FALSE,FALSE,0,FALSE,2011-07-19 03:51:27,0
2011-07-19 10:35:57,TRUE,FALSE,0,FALSE,2011-07-19 10:35:57,0
2011-07-20 03:34:27,FALSE,FALSE,0,FALSE,2011-07-20 03:35:27,0
2011-07-20 10:50:07,TRUE,FALSE,0,FALSE,2011-07-20 10:50:07,0
2011-07-21 03:33:27,FALSE,FALSE,0,FALSE,2011-07-21 03:34:27,0
2011-07-21 10:44:27,TRUE,FALSE,0,FALSE,2011-07-21 10:44:27,0
2011-07-22 03:28:27,FALSE,FALSE,0,FALSE,2011-07-22 03:29:27,0
2011-07-22 10:35:27,TRUE,FALSE,0,FALSE,2011-07-22 10:35:27,0
2011-07-23 03:02:27,FALSE,FALSE,0,FALSE,2011-07-23 03:03:27,0
2011-07-23 10:51:27,TRUE,FALSE,0,FALSE,2011-07-23 10:51:27,0
2011-07-24 02:56:27,FALSE,FALSE,0,FALSE,2011-07-24 02:57:27,0
2011-07-24 10:43:27,TRUE,FALSE,0,FALSE,2011-07-24 10:43:27,0
2011-07-25 03:21:47,FALSE,FALSE,0,FALSE,2011-07-25 03:22:47,0
2011-07-25 10:45:27,TRUE,FALSE,0,FALSE,2011-07-25 10:45:27,0
2011-07-26 03:12:03,FALSE,FALSE,0,FALSE,2011-07-26 03:13:03,0
2011-07-26 10:49:27,TRUE,FALSE,0,FALSE,2011-07-26 10:49:27,0
2011-07-27 03:12:27,FALSE,FALSE,0,FALSE,2011-07-27 03:13:27,0
2011-07-27 10:45:27,TRUE,FALSE,0,FALSE,2011-07-27 10:45:27,0
2011-07-28 03:01:47,FALSE,FALSE,0,FALSE,2011-07-28 03:02:47,0
2011-07-28 10:45:27,TRUE,FALSE,0,FALSE,2011-07-28 10:45:27,0
2011-07-29 03:16:27,FALSE,FALSE,0,FALSE,2011-07-29 03:17:27,0
2011-07-29 10:37:27,TRUE,FALSE,0,FALSE,2011-07-29 10:37:27,0
2011-07-30 03:13:27,FALSE,FALSE,0,FALSE,2011-07-30 03:14:27,0
2011-07-30 10:43:57,TRUE,FALSE,0,FALSE,2011-07-30 10:43:57,0
2011-07-31 03:08:27,FALSE,FALSE,0,FALSE,2011-07-31 03:09:27,0
2011-07-31 10:51:33,TRUE,FALSE,0,FALSE,2011-07-31 10:51:33,0
2011-08-01 03:04:27,FALSE,FALSE,0,FALSE,2011-08-01 03:05:27,0
2011-08-01 10:49:27,TRUE,FALSE,0,FALSE,2011-08-01 10:49:27,0
2011-08-02 03:04:27,FALSE,FALSE,0,FALSE,2011-08-02 03:05:27,0
2011-08-02 10:51:27,TRUE,FALSE,0,FALSE,2011-08-02 10:51:27,0
2011-08-03 02:59:47,FALSE,FALSE,0,FALSE,2011-08-03 03:00:47,0
2011-08-03 10:55:27,TRUE,FALSE,0,FALSE,2011-08-03 10:55:27,0
2011-08-04 02:57:27,FALSE,FALSE,0,FALSE,2011-08-04 02:58:27,0
2011-08-04 10:55:27,TRUE,FALSE,0,FALSE,2011-08-04 10:55:27,0
2011-08-05 02:56:27,FALSE,FALSE,0,FALSE,2011-08-05 02:57:27,0
2011-08-05 10:57:27,TRUE,FALSE,0,FALSE,2011-08-05 10:57:27,0
2011-08-06 02:52:27,FALSE,FALSE,0,FALSE,2011-08-06 02:53:27,0
2011-08-06 10:55:44,TRUE,FALSE,0,FALSE,2011-08-06 10:55:44,0
2011-08-07 02:54:27,FALSE,FALSE,0,FALSE,2011-08-07 02:55:27,0
2011-08-07 10:59:27,TRUE,FALSE,0,FALSE,2011-08-07 10:59:27,0
2011-08-08 02:49:57,FALSE,FALSE,0,FALSE,2011-08-08 02:50:57,0
2011-08-08 11:07:27,TRUE,FALSE,0,FALSE,2011-08-08 11:07:27,0
2011-08-09 02:52:27,FALSE,FALSE,0,FALSE,2011-08-09 02:53:27,0
2011-08-09 11:02:27,TRUE,FALSE,0,FALSE,2011-08-09 11:02:27,0
2011-08-10 02:48:27,FALSE,FALSE,0,FALSE,2011-08-10 02:49:27,0
2011-08-10 11:02:27,TRUE,FALSE,0,FALSE,2011-08-10 11:02:27,0
2011-08-11 02:44:27,FALSE,FALSE,0,FALSE,2011-08-11 02:45:27,0
2011-08-11 11:08:27,TRUE,FALSE,0,FALSE,2011-08-11 11:08:27,0
2011-08-12 02:44:27,FALSE,FALSE,0,FALSE,2011-08-12 02:45:27,0
2011-08-12 11:05:27,TRUE,FALSE,0,FALSE,2011-08-12 11:05:27,0
2011-08-13 02:36:27,FALSE,FALSE,0,FALSE,2011-08-13 02:37:27,0
2011-08-13 11:10:27,TRUE,FALSE,0,FALSE,2011-08-13 11:10:27,0
2011-08-14 02:34:03,FALSE,FALSE,0,FALSE,2011-08-14 02:35:03,0
2011-08-14 11:17:27,TRUE,FALSE,0,FALSE,2011-08-14 11:17:27,0
2011-08-15 02:28:27,FALSE,FALSE,0,FALSE,2011-08-15 02:29:27,0
2011-08-15 11:26:27,TRUE,FALSE,0,FALSE,2011-08-15 11:26:27,0
2011-08-16 02:26:27,FALSE,FALSE,0,FALSE,2011-08-16 02:27:27,0
2011-08-16 11:33:27,TRUE,FALSE,0,FALSE,2011-08-16 11:33:27,0
2011-08-17 02:46:27,FALSE,FALSE,0,FALSE,2011-08-17 02:47:27,0
2011-08-17 11:13:27,TRUE,FALSE,0,FALSE,2011-08-17 11:13:27,0
2011-08-18 02:31:47,FALSE,FALSE,0,FALSE,2011-08-18 02:32:47,0
2011-08-18 11:26:27,TRUE,FALSE,0,FALSE,2011-08-18 11:26:27,0
2011-08-19 02:30:27,FALSE,FALSE,0,FALSE,2011-08-19 02:31:27,0
2011-08-19 11:18:27,TRUE,FALSE,0,FALSE,2011-08-19 11:18:27,0
2011-08-20 02:24:27,FALSE,FALSE,0,FALSE,2011-08-20 02:25:27,0
2011-08-20 11:26:27,TRUE,FALSE,0,FALSE,2011-08-20 11:26:27,0
2011-08-21 02:31:57,FALSE,FALSE,0,FALSE,2011-08-21 02:32:57,0
2011-08-21 11:31:27,TRUE,FALSE,0,FALSE,2011-08-21 11:31:27,0
2011-08-22 02:18:27,FALSE,FALSE,0,FALSE,2011-08-22 02:19:27,0
2011-08-22 11:27:27,TRUE,FALSE,0,FALSE,2011-08-22 11:27:27,0
2011-08-23 02:18:27,FALSE,FALSE,0,FALSE,2011-08-23 02:19:27,0
2011-08-23 11:27:27,TRUE,FALSE,0,FALSE,2011-08-23 11:27:27,0
2011-08-24 02:20:27,FALSE,FALSE,0,FALSE,2011-08-24 02:21:27,0
2011-08-24 11:29:27,TRUE,FALSE,0,FALSE,2011-08-24 11:29:27,0
2011-08-25 02:19:27,FALSE,FALSE,0,FALSE,2011-08-25 02:20:27,0
2011-08-25 11:30:27,TRUE,FALSE,0,FALSE,2011-08-25 11:30:27,0
2011-08-26 02:12:27,FALSE,FALSE,0,FALSE,2011-08-26 02:13:27,0
